home,score,away,year
Qatar ,0–2, Ecuador,year
Senegal ,0–2, Netherlands,year
Qatar ,1–3, Senegal,year
Netherlands ,1–1, Ecuador,year
Ecuador ,1–2, Senegal,year
Netherlands ,2–0, Qatar,year
England ,6–2, Iran,year
United States ,1–1, Wales,year
Wales ,0–2, Iran,year
England ,0–0, United States,year
Wales ,0–3, England,year
Iran ,0–1, United States,year
Argentina ,1–2, Saudi Arabia,year
Mexico ,0–0, Poland,year
Poland ,2–0, Saudi Arabia,year
Argentina ,2–0, Mexico,year
Poland ,0–2, Argentina,year
Saudi Arabia ,1–2, Mexico,year
Denmark ,0–0, Tunisia,year
France ,4–1, Australia,year
Tunisia ,0–1, Australia,year
France ,2–1, Denmark,year
Australia ,1–0, Denmark,year
Tunisia ,1–0, France,year
Germany ,1–2, Japan,year
Spain ,7–0, Costa Rica,year
Japan ,0–1, Costa Rica,year
Spain ,1–1, Germany,year
Japan ,2–1, Spain,year
Costa Rica ,2–4, Germany,year
Morocco ,0–0, Croatia,year
Belgium ,1–0, Canada,year
Belgium ,0–2, Morocco,year
Croatia ,4–1, Canada,year
Croatia ,0–0, Belgium,year
Canada ,1–2, Morocco,year
Switzerland ,1–0, Cameroon,year
Brazil ,2–0, Serbia,year
Cameroon ,3–3, Serbia,year
Brazil ,1–0, Switzerland,year
Serbia ,2–3, Switzerland,year
Cameroon ,1–0, Brazil,year
Uruguay ,0–0, South Korea,year
Portugal ,3–2, Ghana,year
South Korea ,2–3, Ghana,year
Portugal ,2–0, Uruguay,year
Ghana ,0–2, Uruguay,year
South Korea ,2–1, Portugal,year
Netherlands ,3–1, United States,year
Argentina ,2–1, Australia,year
France ,3–1, Poland,year
England ,3–0, Senegal,year
Japan ,1–1 (a.e.t.), Croatia,year
Brazil ,4–1, South Korea,year
Morocco ,0–0 (a.e.t.), Spain,year
Portugal ,6–1, Switzerland,year
Croatia ,1–1 (a.e.t.), Brazil,year
Netherlands ,2–2 (a.e.t.), Argentina,year
Morocco ,1–0, Portugal,year
England ,1–2, France,year
Argentina ,3–0, Croatia,year
France ,2–0, Morocco,year
Croatia ,2–1, Morocco,year
Argentina ,3–3 (a.e.t.), France,year
